ResponseId,treat1summ,treat2summ,Mention_Anti_Asian,Mention_Racism_Against_POC,Not_Surprised,Anger,Worry/Fear/Anxiety,Sadness,Inattentive,Unsure,Notes
R_1fZTiXxGGEJ2fWz,Asians and Asian Americans are target of hate crimes with the height of Covid in April 2020. ,,1,0,0,0,0,0,0,0,
R_2V3ca0QjabNiIU1,,There's a rise of anti-Asian violence and racism since the pandemic started. Other minorities are affected to. We should work together to combat the racism.,1,1,0,0,0,0,0,0,
R_1hQLN79XXqfUxVo,,,,,,,,,,,
R_1PXJTnWHQesLAiX,Asian hate that is the summary of it.,,1,0,0,0,0,0,0,0,
R_27WLFeFJq4u2Mg5,,,,,,,,,,,
R_33wgYmWjnjwmfAQ,,A person at the supermarket was spat on. Blamed for bringing Covid into the states. Discrimination has risen since the pandemic started.,0,1,0,0,0,0,0,0,
R_yDUxCv1TFLHL9WV,,Article gave statistics of groups experiencing hate crimes. Stated we need to fight this as a group. Asians have experienced hate crimes as people blame them for Covid. ,1,0,0,0,0,0,0,0,
R_1IWcW8NMINOhFpd,,This article details instances of hate crimes against Asian people. Asian American recall their experiences of being victims of hate crimes. They also describe their experiences protesting against it.,1,0,0,0,0,0,0,0,
R_2S6pR03ZOtdXATe,,,,,,,,,,,
R_3oF8g65ZaZmx6NT,"An Asian woman in New Jersey got spat on at a grocery store and told to ‚Äúgo back where you come from‚Äù by an American. 

Discrimination has increased and it‚Äôs affecting Asian people all over USA.

Covid brought hate and discrimination to the minority including my race-Asian.",,1,1,0,0,0,0,0,0,
R_2eRIWPOOwSskFVQ,,,,,,,,,,,
R_28VcQrtbXZ30PDx,,n/a,0,0,0,0,0,0,1,0,
R_3dDEbLhJ43vpW93,the hate attack on an asian woman in new york provided a platform for this discrimination to be talked about openly.,,1,0,0,0,0,0,0,0,
R_vNPC6hizvc9vqMx,,American Asians are experiencing racial hate. This so due to people blaming them for the COVID pandemic. Someone (I forgot his name) is calling for solidarity among Asians. ,1,0,0,0,0,0,0,0,
R_CdbtnVZDeYG5MEp,,,,,,,,,,,
R_elpdNmAhwiD7gIx,"There is a discremination against Asians in America
It has been increased after the covid-19 pandemic because Americans think Asians are responsible for spreading the disease 
So Asians should get together against this discremination ",,1,0,0,0,0,0,0,0,
R_3sbsqN4Wc2lXJh4,,,,,,,,,,,
R_BxKVWuMG9Nx695D,,,,,,,,,,,
R_2XafevIz7LDD8eA,Hate is on the rise.  Discrimation is  not unacceptable.  We must stand together.,,0,1,0,1,0,0,0,0,
R_xDcfpv5YB0rN2NP,,Asian American hate crime are on the rise in US after covid. People have been spitting or hurting Asian Americans.  The article calls for action for this new hatred,1,0,0,0,0,0,0,0,
R_3FOuHWfUmrcuUvn,It's about racism of mostly Asian Americans and receive assault or insult from other races.We need to stand up to stop this hates of Asian. ,,1,0,0,0,0,0,0,0,
R_3OlIo3qwjxPb8s9,,,,,,,,,,,
R_1l9MFMnCwPuogM3,,Asian hate has increased since the pandemic. Many people have even refused to send them and have told them to go back to their country. Racially charged descrimination and hatred is becoming more of a problem.,1,1,0,0,0,0,0,0,
R_1P4Poqn2RpaPGdE,"Asian-Americans are being blamed and discriminated against for the coronavirus pandemic in the US. 
About 17% of Asian-Americans have been discriminated against.
Asian-American groups are protesting against this discrimination.",,1,0,0,0,0,0,0,0,
R_126aeOzJlmm7Wh1,,,,,,,,,,,
R_2dYAedHYrqvLvDw,,Pham chose what he believed in and did his best to achieve his goals and what he believed in! Many have choices just like him it‚Äôs just whether which choices and routes you will take ! ,0,0,0,0,0,0,1,0,
R_3nq4kzuaeRklMSc,It was about hate on asians and people being rude to Asians ,,1,0,0,0,0,0,0,0,
R_10Z1Sz2MmphMbZr,,,,,,,,,,,
R_BLkIfuoiOJbGioF,Asian Hate has increased because of the pandemic. People are getting harassed in public and told to go back to your country. Everyone should stand up for one another.,,1,0,0,0,0,0,0,0,
R_3HSocId9oylXM69,,,,,,,,,,,
R_ZggQTiOnCPkzTbP,,,,,,,,,,,
R_et9FUeJSKzjTJ97,,Asian discrimination increase during the time of covid was starting.  We should fight this.,1,0,0,1,0,0,0,0,
R_28VbvjNLn86J8sU,I am asian I am not agree of racism ,,1,0,0,0,0,0,1,0,
R_27xH3543G7dEQsN,,It is unfortunate of these things happen. Compared to 50 years ago it has reduced. You are always going to have these things happen. Not good but decreased. Cannot be erased as long as we have humans.,0,0,1,0,0,0,1,0,
R_Twt4JQxaDoerTEJ,,,,,,,,,,,
R_3s0SMZHpfGoar9i,,,,,,,,,,,
R_1QhGjd3A7wHsG13,Hate crime incident got increased after COVID incident. More and more Asians are getting targeted for hate crime. People need to understand this is not good for civil society. ,,1,0,0,0,0,0,0,0,
R_ZCrFAFgXV4YnBDP,There has been a rise in anti-asian hate crimes in the US. These incidents seem to be related to covid-19. Asians have reported being discriminated against and also physically and verbally abused.,,1,0,0,0,0,0,0,0,
R_2QVW2iDFik2eoVQ,,,,,,,,,,,
R_bBOhOufQx5HqnUl,,"Many races are experiencing some kind of racism in America. It has increased in recent years. Specifically, the Asians have been affected by it more than others.",1,1,0,0,0,0,0,0,
R_1MMw96Umdz543HB,,Since Covid Asian Americans have experienced in hate crimes such as being spit upon or use discriminatory words.  Other persons of colors have experienced an increase of hate crimes. All racial groups must stand united against those who spread such hate. ,1,1,0,0,0,0,0,0,
R_3JJCevvhYQUuQcN,,they trying to tell people what they believe in thier own way,0,0,0,0,0,0,1,0,
R_12seYARVLZ01JXB,,the article speaks about hate crimes against marginalized groups in society specifically hispanics and blacks. The article provides with factual and satistical information to further support the claims. Its not only informative but is a good insight into hate crimes.,0,1,0,0,0,0,0,0,
R_3EScOJYsmxpfLSW,It's about hate crimes against Asians. An example about a store owner is given and it tries to say one should stand up against discrimination and hate crimes,,1,1,0,0,0,0,0,0,
R_1OIbuTC5Ey80Idl,,,,,,,,,,,
R_3nJmsAEWtTaK2C0,,,,,,,,,,,
R_3KrSWUc9Nygc1Dt,,It‚Äôs the complex of white supremacy without them realizing that they are also dependents of immigrants. That‚Äôs why all these racial hate crimes.,0,1,0,0,0,0,0,0,
R_3HuJEdkdshc5HxW,,,,,,,,,,,
R_xmdO8Hu4mU641fr,,No one is alone in experiencing racial discrimination. Together we can end the battle against this type of discrimination. We must not give up!,0,1,0,0,0,0,0,0,
R_31SemeJPcQfkBbS,Asian hate is happening right now. We need to step up and stop it from happening.,,1,0,0,0,0,0,0,0,
R_2BrCbBEMxvwWn9l,"There has been a rise in hate crimes against Asians. This is due to Covid 19. Instances of crimes include getting spit on at the store, and not getting picked up by rideshare drivers.",,1,0,0,0,0,0,0,0,
R_2X7gXOJOsyvPV7K,,,,,,,,,,,
R_3qUSaoONWEd0UaI,,,,,,,,,,,
R_1Hc2vNdq199aZfN,,The discrimination suffer by Asians  during COVID 19. Asian American were abused and blamed for bringing the virus from China.  This discrimination must stop for all races.  ,1,1,0,0,0,0,0,0,
R_2AEw6r3f89bhSdB, Asian harrasement got increased in east coast are. We need to stand up for the issue of Asian anti-discrimination. We need to support to against discrimination.,,1,0,0,0,0,0,0,0,
R_4Mmx0kDSR4Wd16h,The virus is affecting people job,,0,0,0,0,0,0,1,0,
R_2R4eoQyrKUC7mOE,,"The story unfolds with the indecent behavior of a pervert spitting on another person, leave alone her position, saying that she had brought ?áOVID into US., and threatening her to go back to her country.",0,0,0,0,0,0,0,0,
R_1KoFFsw0O001WBj,Asian hate. Discrimination. Racism.,,1,0,0,0,0,0,0,0,
R_2QEAPq5KEHqJEEE,The article was about how people (white) in this country don't understand how racist they are. The very idea that they are the original settlers here is ridiculous. Vile thoughts and actions.,,0,1,0,0,0,0,1,0,
R_2tD85GW508gRn2k,,,,,,,,,,,
R_2ckHEmGhtgDXPpu,,"Asian-Americans have had racists remarks said since the pandemic. People have spit on or coughed on them, blaming them for the pandemic. Uber and lyft drivers have refused to pick them up.",1,0,0,0,0,0,0,0,
R_3lM4OYY2RNP4oey,,,,,,,,,,,
R_BxJffcShB0TS5EZ,Racism against Asians are increasing after 2020 COVID. Study shows about 17%. They‚Äôre are being asked to leave stores and denied Uber rides. ,,1,0,0,0,0,0,0,0,
R_2rvyaOmYQXpElGh,,,,,,,,,,,
R_WlIQTAKqLcQL4CR,,"The problem of racism in United States is increasing. There was a woman from New Jersey that is Chinese, someone attacked and asked her to go back to China. We need to help each other to stop racism.",1,0,0,0,0,0,0,0,
R_UnkwmRU8CHZeuDn,,,,,,,,,,,
R_1QoseyGvZHIQANM,,"Asian hate crime has risen since Covid.
Hate crimes against other minorities has risen.
",1,1,0,0,0,0,0,0,
R_28ZiQdmdodOlXQ0,,,,,,,,,,,
R_1itHfqJ9uXtShFs,The Asian American encounter a racist shopper because of the COVID .And she told the Asian to go back where they came from.,,1,0,0,0,0,0,0,0,
R_bjehNYHrBj1a85b,There is a rise on Asian hate. Asians have been spit on because they are blamed for Covid. Uber and Lyft drivers refused to pick up. ,,1,0,0,0,0,0,0,0,
R_1EbztZ536WPUca0,,"Due to the pandemic, Asians have been discriminated against.
They have been spat on, refused entry into stores and refused Uber rides
They along with blacks, latinos and indigenous people face discrimination.",1,0,0,0,0,0,0,0,
R_2du2nlvSrwqRGp3,,Asia racist is rising,1,0,0,0,0,0,0,,
R_3lVmfsr71XuZ5cB,"lily was discriminated against.
she was told to leave the store.
told she brought the virus.",,0,1,0,0,0,0,0,0,
R_2PpvvkziS8hYVae,,"there is a lot of hate towards the asian community, ever since covid, people have been acting very rude towards minorities. other racial groups have been experiencing racism as well.",1,1,0,0,0,0,0,0,
R_sImYntumERpjlEB,,,,,,,,,,,
R_1C4wmC0RUcXkkEn,,,,,,,,,,,
R_1OPksP44XqjbYVp,,,,,,,,,,,
R_3oN2gnPnve8wdkY,Asian Americans are a immigrant people but have very few writes. They have faced racism and shit but here we are. ,,1,0,0,0,0,0,0,0,
R_2fv2xajVtWxm97L,,,,,,,,,,,
R_2VwIPaz6uB8hVti,Asian Americans are experiencing Covid related discrimination. Examples include being spit on and refusal of services. 17% of Asian Americans would agree.,,1,0,0,0,0,0,0,0,
R_23VvIL83YZXZTP7,,It expresses the Asian hate crimes happening right now in the future and in the pass. It tells how to stop them. Also And be better.,1,0,0,0,0,0,0,0,
R_3hFpy5LjhaFEoF0,"Since 2020, there has been an increase in Asian hate.  This is due to the mischaraterisation that Covid was brought here by Asians.",,1,0,0,0,0,0,0,,
R_24DcDOHcAqmLBLC,"Asians are being blamed for bringing Covid 19 to the US. As a consequence, anti-Asian hate and hate crimes are on the rise. Phan states that Asian Americans should stand together against this hate.",,1,0,0,0,0,0,0,0,
R_2rlsgCTuOZAnK2E,,,,,,,,,,,
R_2dQjnncuvCLo6zz,its not good at all,,0,0,0,0,0,0,1,0,
R_xGyHhQ9X4IZFijn,,There has been an increased in hate crimes or discrimination against the asian population since the start of Covid,1,0,0,0,0,0,0,0,
R_Y9U65GZimqr2oSJ,,,,,,,,,,,
R_uxNPbWR0390dAvT,Hate against Asian Americans. Rise in attacks during the COVID-19 pandemic. People report being spat on and being told to go home.,,1,0,0,0,0,0,0,0,
R_2YkQ5YwZ7EWDtoX,,,,,,,,,,,
R_zSvLXJjc5Hd8J1v,,"rise is race crime
discrimination to Asian and minority cultures
people blamed the pandemic was brought from Asian",1,1,0,0,0,0,0,0,
R_vBKi1S4cSwwxZNT,,It‚Äôs about racism that it‚Äôs a virus n should be stopped ,0,0,0,0,0,0,0,0,
R_1laRTHoDXDJvIrN,,Asian-American people were harassed during the time of year 2020 right after the start of covid-19. people were blaming them for bringing the covid-19 in U.S. And they were refused by the Uber and lift.,1,0,0,0,0,0,0,0,
R_2eOL09vseaxSvyx,,,,,,,,,,,
R_2435disSpXIOUaC,,,,,,,,,,,
R_31gimFjNqXAlUIc,"a woman is deceiving her negative opinion on the rise of asian hate crimes in america. she then continues by describing what we as a whole, americans, should do to combat these crimes, as well as why we should care. the goal is to come together through unity. ",,1,0,0,0,0,0,0,0,
R_A6Qk4YK4Q8O6Cgp,,"People need to stand up for minorities
Stop the Hate
Government needs to do more for the people",0,1,0,1,0,0,0,0,
R_2fwC9v41T9tREbx,"During the COVID pandemic, the rise of Asian Hate Crime has risen. From businesses to people‚Äôs neighbors have hated on and degraded my fellow Asian. No one blew it up & really helped because of the simple fact we are Asian! ",,1,0,0,0,0,0,0,0,
R_aarA6nt78EkOngl,Lily wong went to the her local grocery store. And somebody yelled at her she bring the covid in the united states. They told her to go back were she belongs.,,0,0,0,0,0,0,0,0,
R_3m2a5bBFQ8pyJZN,,,,,,,,,,,
R_3I7McdCFFZCbnB7,,"The article was about how COVID-19 brought forth a stronger disdain towards Asians. It cites some instances where Asians are blamed for the situation and how they are treated. General, non-white racial hate crimes are also addressed.",1,1,0,0,0,0,0,0,
R_2c8Ekn8byV4U4Dr,"Good and easy article
Simple and good
Easy and good",,0,0,0,0,0,0,1,0,
R_1JFsC4ZOewYji7G,,"They blamed the shopper for bringing COVID-19 even when she is not, but she got the blame just because she is an Asian. ",1,0,0,0,0,0,0,0,
R_3HhKGAnEJnfgIMM,,,,,,,,,,,
R_26ak5aDrQ93kgPg,Asian Americans are unfairly being blamed for the Covid-19 pandemic. They are being spit on and coughed on for no reason. Uber and Lyft drivers are not giving them rides. ,,1,0,0,1,0,0,0,0,
R_eQguYG9rScoIKBP,,,,,,,,,,,
R_0wDkhNbpy38WnAt,,,,,,,,,,,
R_AuE4r6xFCVL4F8Z,,The article follows the story of an Asian woman named Lily Wong who experienced a racist encounter at a grocery store. The article then goes into detail about more Asian hate due to the COVID-19 pandemic. The article finishes by telling the reader that Asians are not the only ethnic group experiencing hate in the United States.,1,1,0,0,0,0,0,0,
R_2cuU3MeCNKVLn09,"Asians are discriminated against. Protests have begun for Asian equality. America, although free, is short of racial equality.",,1,0,0,0,0,0,0,0,
R_1OuT6WW5vVpEl73,,,,,,,,,,,
R_50uUthqGl7tXbVL,,Everything and everything. Everything and everything. Everything and everything.,0,0,0,0,0,0,1,0,
R_3q8xsTJxubza05C,,,,,,,,,,,
R_3Rg3Ae83aHfkTE5,This article talks about Asian-hate. There is an example of Lily Wong. Ring spat upon. Ms. Wong was blamed for bringing the COVID to the country and that she should leave the country. ,,1,0,0,0,0,0,0,,
R_2alZsmDE4X5vHhz,It told a story about an Asian American got discriminated. It‚Äôs an important fact about the current situation on racial discrimination. It showed the importance about why we need to take actions against racial discrimination.,,1,0,0,0,0,0,0,0,
R_27QjsVBMSsNN33Y,,,,,,,,,,,
R_2y8EE8F73oRF8ts,"Asian Americans are being singled out for bringing the Covid virus to the United States. Since Covid, Asian Americans are more targeted than before. Asian Americans should stand together to fight for each other.",,1,0,0,0,0,0,0,0,
R_1IG9pPtS8G2FDNt,,"During the pandemic, hate crimes across the minorities have risen. Since C19 first presence was in Asia. Hate crime towards Asians were more apparent during the pandemic in the USA. It is not the minority in numbers but the race identifier of what we are in America. ",1,1,0,0,0,0,0,0,
R_3lQ6pSqgGADvxZP,,Since the pandemic more Asian Americans report facing discrimination and hate. This is a widespread issue. It is congruent with the broader issue of discrimination and hate faced by people in the minority. ,1,1,0,0,0,0,0,0,
R_22Lfht7377hVlXa,,,,,,,,,,,
R_1gNJGC8IojK0JRc,,The blame of Covid 19 is towards a group. Racism towards Asian Americans increased.photo show protest.,1,0,0,0,0,0,0,0,
R_21c5DPtPALljmXJ,"Asian Americans are targets of hate crimes. Since the start of the pandemic, 17% of respondents said they have been targeted. They range from discrimination and refusal of pick ups to violence.",,1,0,0,0,0,0,0,0,
R_25KEPKy1w34MVOK,"I don't know, no idea",,0,0,0,0,0,0,1,0,
R_3lGOMjQdX5xvXmL,,,,,,,,,,,
R_1cTvBmETxn1OMha,Not applicable at the current moment as of right now ,,0,0,0,0,0,0,1,0,
R_80NCCkSaN0t4O7n,,,,,,,,,,,
R_sMdgTIXViR5hhkZ,,,,,,,,,,,
R_2XmI7OEwqEuEo81,Asian Americans are being targeted in most biased way and face violent crimes also due to pandemic onset starting 2020,,1,0,0,0,0,0,0,0,
R_2Cm73ThKCdeJC19,,,,,,,,,,,
R_3hyGJqDLGjLpOj5,A lot of asian americans are experiencing racism because of Covid. There's a research that there has certainly a rise to the racism against Asian since Covid. There's a movement trying to stop that.,,1,0,0,0,0,0,0,0,
R_1I4SJJX8QqD0W1r,,I‚Äôm short hate crimes against Asians have increased. This is shown by a percentage and examples of people being discriminated against. All in all Covid-19 has spread us further apart.,1,0,0,0,0,0,0,0,
R_2dSZrCVMzk4AeAF,,"The summary was related to the discrimination
Aroused due to covid-19 pandemic which took place in a shop.",0,1,0,0,0,0,0,0,
R_r0cx7UelC73QGWt,,,,,,,,,,,
R_3a4Slzzq5NCB4gV,"in the article, it talked about how asians are against anti asian hate right now. a store owner is afraid right now because of covid. one of her customers came in and blamed her for the coronavirus. ",,1,0,0,0,0,0,0,0,
R_3GBe6V3JuHfapRN,,,,,,,,,,,
R_2EuG7nu1mK0HBdW,,Asian hate crimes are on the rise. Asian people are being spat on and being told to go back to their country. People are blaming the Asians for bringing the coronavirus.,1,0,0,0,0,0,0,0,
R_3lKVeP3qUW2fuSP,,,,,,,,,,,
R_2THSMpYgS9IcDN6,"The pandemic has resulted in an increase in discrimination and abuse against the Asian American community. Since 2020, 17% of the Asian American population has experience anti Asian sentiment and violence. Asian American have experienced incidents such as verbal abuse (go back to your country) and physical abuse (spitting).",,1,0,0,0,0,0,0,0,
R_qLeUn0qyOQ0W2WZ,,I dunno,0,0,0,0,0,0,1,0,
R_28zDKaMhofeHmFA,,"Asians have recently been victims of racism due to COVID-19 pandemic. They are being spat at, told racial slurs, and told to go back to their home country. They are experiencing discrimination like other minority groups. ",1,1,0,0,0,0,0,0,
R_23V6ONyIww3vnMk,We Asian Americans do not bring covid over !!Asian hate has been on the rise. We got to stand up for culture & ourselves.,,1,0,0,1,0,0,0,0,
R_sv4ZxX2Ojfa4wzD,,,,,,,,,,,
R_1isbXfu9GNm4y9D,Important to stand up for each other ,,0,0,0,0,0,0,1,0,
R_2y7vKARXzcnpaBk,,,,,,,,,,,
R_3NLqDI9mgU7Mztx,,"Anti-Asian crimes are elevating after the pandemic and xenophobic behavior against different races and class is at its highest. People are refusing to assist them like Uber drivers refusing to pick them up and people spitting or coughing at them and asking them to leave the country.
",1,1,0,0,0,0,0,0,
R_1H2hqxtHTCOG1do,Asian people have been subjected to discrimination since covid in 2020. People are blaming Asians for bringing covid here. People are stupid.,,1,0,0,0,0,0,0,0,
R_1Hq915ENwhvn1tG,,,,,,,,,,,
R_2dg9r9O7AZzvynu,Gang gang been done that 25+ years ago.old shiet kneezit,,0,0,0,0,0,0,1,0,
R_3iVdb4QJOVPFO8i,,"There's been an increase of xenophobic comments and actions, many related to Covid-19. These are ungrounded rumors that unfairly attack people. We should stand together to stop Asian hate. ",1,0,0,0,0,0,0,0,
R_3rTYmIAsiCvd8Y5,,,,,,,,,,,
R_3I9ykAcyvcmQMWx,, The crime rate on Asians has gotten alot worse ever since Covid happened . People blame Asians for Covid . People have gotten hurt,0,0,0,0,0,0,0,0,
