ResponseId,treat1react,treat2react,Mention_Anti_Asian,Mention_Racism_Against_POC,Not_Surprised,Anger,Worry/Fear/Anxiety,Sadness,Inattentive,Unsure, Notes
R_1ptCBmbUebxP0sp,"With social media, Asians abuse cases are more publicized now. The abuse, discrimination and bigotry has always been there especially in USA, but recently the incidents seem to be getting more violent and the bigotry is more in the open. This is not new, just more severe and more open. ",,1,0,1,0,0,0,0,0,
R_Dr8DcvpEE8mlySJ,"This is not new.
Anyone who is shocked by Americans behaving like this is naive.
America was founded and maintained in a racist way for generations, nothing new here. ",,0,0,1,0,0,0,0,0,
R_1BXXpfdiP7IMuzK,It’s sad and unfortunate that people think that Asian people brought Covid to the US,,0,0,0,0,0,1,0,0,
R_2Xiflt9cYqhMjQJ,,,,,,,,,,,
R_3m2BsuyoW4qhOoA,,,,,,,,,,,
R_3HChJZzrRw10BmA,,,,,,,,,,,
R_2AEXh1vAnvg91rq,,Yes it sounds authentic and similar experience is shared by many other Asian friends ,0,0,1,0,0,0,0,0,
R_2ffgcqhBuaJ7all,,,,,,,,,,,
R_1mEDYlwvvrynxzP,,,,,,,,,,,
R_bNsBhjaMhQuo8PD,,,,,,,,,,,
R_QlSCdoCRlOn4bap,Everything ,,0,0,0,0,0,0,0,0,
R_6JxZ3j082MEWYKZ,,"Hate-motivated violence will simply not be tolerated in our society. 
Every person deserves to feel safe from hate-motivated vicious harm.
Pandemic-driven and racially-motivated acts of violence are deplorable crimes.",0,0,0,1,0,0,0,0,
R_2w1sum4Gn2YQYca,"Being an immigrant myself, I sympathise and also feel the same. Although I have not faced such abusive behavior myself, but my friends have and that is not good. We are also a part of the economy and USA being a country of immigrants for a great part of its being a nation, we must not be facing this in the 21st century. ",,0,0,1,0,0,0,0,0,
R_1jlVsQQp37TekEy,,,,,,,,,,,
R_1LAp3yiHvLsuMOi,,,,,,,,,,,
R_3iU9p4dAry8QzNP,i have not experienced anything like this as an asian in america but have heard of many similar stories around where i live. the anti asian hate movement did not bring as much attention in the media as other movements. i think it’s unfair,,1,0,1,1,0,0,0,0,
R_21pjNMAYfmatqwK,,,,,,,,,,,
R_1OrbgAZO1dhaFm9,,,,,,,,,,,
R_10wOQJnQqDCggab,,,,,,,,,,,
R_3EL15Ko9USvwNKI,,"we just assume that origin of Covid originated in China, granted pandemic start there, but covid I believe started by manufacturer in USA specifically Fort Detrick,MD.. The US has a history in this area, the 9/11 Anthrax attacks, big news for several weeks then no news about it even to this day. Well I investigated and according to wikipedia it was manufacturer there.. NYC subway at 34 st in 1966 army intelligence/ CIA put bacteria on tracks wind from passing trains blew germs in air. that info was declassified ",0,0,0,0,0,0,1,0,
R_1eIzcfHpAl0c05m,"I take this article personally as an Asian American. I have not experience any racism, but hearing about others having to deal with it on a daily basis really upsets me.",,1,0,0,0,0,1,0,0,
R_25HqCz3nmLTV0TK,,It’s just a thinf,0,0,0,0,0,0,1,0,
R_2abCUJgovG8QLKN,,,,,,,,,,,
R_qVgCTIb3gKrOJVv,,,,,,,,,,,
R_1QJTFpj4cn8j4ud,I think it's a product of the acceptance of hate speech from former president Trump. His calling FOVID the China virus ruled a rise in Asian hate. This is sad but not surprising.,,1,0,1,0,0,1,0,0,
R_3L53uFqDT1JZJDX,,"Thia is true of any race not just asian american
People need better education to know the difference
Givernment shouldn’t spewes hate",1,1,0,0,0,0,0,0,
R_QndnzWEJ9UVtnMt,,,,,,,,,,,
R_0dh6FmOtwxm1C4V,,,,,,,,,,,
R_3rH7z9nWjUD7eIB,,Very unfair. People need educated themself more before open their month!,0,0,0,1,0,0,0,0,
R_3ekQ7DnTF9uAqxm,,it is the reduction of race from other people,0,0,0,0,0,0,0,0,
R_3Hvicr4bIl30SW9,,,,,,,,,,,
R_umo0MnivJH26gJb,I was shocked how unamerican Americans can b. They r vile and evil people out there. People need to be kind not a arse ,,0,0,0,1,0,0,0,0,
R_1fZTiXxGGEJ2fWz,It’s astounding to know what’s happening to Asians and Asian American and we need to do something about it. ,,1,0,0,1,0,0,0,0,
R_2V3ca0QjabNiIU1,,Reading the article I am angry and scared at the same time with people's ignorance. Also surprised to learn that racism against other minorities are rising as well. I want to be hopeful that we can change this in the future but am skeptical.,0,1,0,1,1,0,0,0,
R_1hQLN79XXqfUxVo,,,,,,,,,,,
R_1PXJTnWHQesLAiX,"Sad, see we are all human, no matter what color, race, language, identity, race.
we're all the same, NO ONE IS ABOVE when it comes to humanity, there is no need to fight, or disrespect other, if everyone just accepts everyone, we will have a safe place to live in, with no worry even if its night time, we can do whatever we want without judgement and I think that is amazing",,0,0,0,0,0,1,0,0,
R_27WLFeFJq4u2Mg5,,,,,,,,,,,
R_33wgYmWjnjwmfAQ,,I have already heard of this. It is very sad. I really wish people did not discriminate like this.,0,0,1,0,0,1,0,0,
R_yDUxCv1TFLHL9WV,,I agree as a group we need to support each other. Surprised Indigenous people had highest  %. Heard:read many times what Asians experienced as a result of being blamed for Covid. ,1,1,1,0,0,0,0,0,
R_1IWcW8NMINOhFpd,,This is a very important story. It has been an ongoing issue not well known. I’m glad this is being addressed.,0,0,1,0,0,0,0,0,
R_2S6pR03ZOtdXATe,,,,,,,,,,,
R_3oF8g65ZaZmx6NT,"I think that racism has always been there. People who are unhappy will always find something to hate on and with the hyped COVID-19, what could be a better reason?",,0,0,0,0,0,0,0,0,
R_2eRIWPOOwSskFVQ,,,,,,,,,,,
R_28VcQrtbXZ30PDx,,n/a,0,0,0,0,0,0,1,0,
R_3dDEbLhJ43vpW93,it was somewhat personal because i am also from a minority in this country. it is scary to know what kind of biases people carry inside of them around you,,0,0,0,0,1,0,0,0,
R_vNPC6hizvc9vqMx,,It’s terrible that Asians are being blamed for the pandemic. I’ve spent a total of 1 day in China my entire life so I greatly resent this sentiment. Many people are ignorant and just need someone to blame. ,1,0,0,1,0,0,0,0,
R_CdbtnVZDeYG5MEp,,,,,,,,,,,
R_elpdNmAhwiD7gIx,"In my point of view it is unfair to discreminate Asians 
As it is a virus disease it is very difficult to control the spreading 
So Asians should get together and fight against this discremination ",,1,0,0,1,0,0,0,0,
R_3sbsqN4Wc2lXJh4,,,,,,,,,,,
R_BxKVWuMG9Nx695D,,,,,,,,,,,
R_2XafevIz7LDD8eA,Article made me angry.  It also made me sad.  This cannot continue.,,0,0,0,1,0,1,0,0,
R_xDcfpv5YB0rN2NP,,I was really saddened to read this article. Hate crimes should be stopped. Government must take action to prevent hate crimes,0,0,0,0,0,1,0,0,
R_3FOuHWfUmrcuUvn,"It's sad that their's some people or races think this way, I think everyone of us deserves respect and equality. ",,0,0,0,0,0,1,0,0,
R_3OlIo3qwjxPb8s9,,,,,,,,,,,
R_1l9MFMnCwPuogM3,,"While i do not typically get involved political issues, I do think that hatred and discrimination is becoming very problematic in our country in the past few years. It has definitely increased through the pandemic. Sadly, sometimes the media can influence our judgements, as well.",0,0,0,0,0,1,0,0,
R_1P4Poqn2RpaPGdE,"I personally have not experienced any obvious discrimination related to the pandemic. However, I have been discriminated against in the workplace before the pandemic occurred.I feel Asia-American protesting pandemic-related discrimination or any racial discrimination is justified.",,1,0,1,0,0,0,0,0,
R_126aeOzJlmm7Wh1,,,,,,,,,,,
R_2dYAedHYrqvLvDw,,It’s the basic concepts of life in general ! To survive and to make it out here you will have to do what’s best for you and take it all the way serious ! Phan was one of few that did what he believed in and did it ! ,0,0,0,0,0,0,1,0,
R_3nq4kzuaeRklMSc,It was very sad and upsetting for people to blame Asians for covid,,1,0,0,0,0,1,0,0,
R_10Z1Sz2MmphMbZr,,,,,,,,,,,
R_BLkIfuoiOJbGioF,My reaction is sadness. I can't believe how some people can react to others. I wish people would just be nice and caring towards everyone.,,0,0,0,0,0,1,0,0,
R_3HSocId9oylXM69,,,,,,,,,,,
R_ZggQTiOnCPkzTbP,,,,,,,,,,,
R_et9FUeJSKzjTJ97,,I am worried about the situation. I am truly scared for me and my family,0,0,0,0,1,0,0,0,
R_28VbvjNLn86J8sU,I feel bad for people about racism ,,0,0,0,0,0,1,0,0,
R_27xH3543G7dEQsN,,I think these things will continue to happen but will decrease over period of time. As long as there are humans you will have indifferences.,0,0,0,0,0,0,0,0,
R_Twt4JQxaDoerTEJ,,,,,,,,,,,
R_3s0SMZHpfGoar9i,,,,,,,,,,,
R_1QhGjd3A7wHsG13,"This kind of hate crime needs to be stopped immediately. This is not good for anyone. People should respect each other and focus on more burning issues like poverty, gun control, climate change etc.",,0,0,0,1,0,0,0,0,
R_ZCrFAFgXV4YnBDP,"I have heard about this on the news before. It’s sad and unacceptable. It is extremely ridiculous but unfortunately follows a pattern of discrimination in the US related to certain events (japanese internment camps, 9/11 causing islamophobia, etc)",,0,0,1,1,0,1,0,0,
R_2QVW2iDFik2eoVQ,,,,,,,,,,,
R_bBOhOufQx5HqnUl,,I have no comment on the article. Most people are racist. They hide it very well.,0,0,0,0,0,0,0,0,
R_1MMw96Umdz543HB,,It's important now and for all future times to stand together against such hate with love and support against one another.  We must never let others put us down and stand together.  Peaceful protest against companies or other businesses that try to spread such discrimination as well.,0,0,0,0,0,0,0,0,
R_3JJCevvhYQUuQcN,,"its dangerous doing this but who knows , they might get what they want",0,0,0,0,0,0,1,0,
R_12seYARVLZ01JXB,,i was happy an article as such was written and published as i believe its important to speak about issues marginalized racial groups in society face in modern day america and how those issues can be resolved.,0,1,0,0,0,0,0,0,
R_3EScOJYsmxpfLSW,Hate crimes are prevalent and it requires a movement to stand up against it.,,0,0,0,0,0,0,0,0,
R_1OIbuTC5Ey80Idl,,,,,,,,,,,
R_3nJmsAEWtTaK2C0,,,,,,,,,,,
R_3KrSWUc9Nygc1Dt,,Some concrete legal & social solution has to be found to solve it as with the abolition of slavery these decedent & thinking has not changed much.,0,0,0,0,0,0,0,0,
R_3HuJEdkdshc5HxW,,,,,,,,,,,
R_xmdO8Hu4mU641fr,,"If it happened to others, it could happen to me. More than ever, I must be diligent in watching over my surroundings. More than ever, I must be careful, especially when I’m walking by myself.",0,0,0,0,1,0,0,0,
R_31SemeJPcQfkBbS,It is sad to see people act that way.,,0,0,0,0,0,1,0,0,
R_2BrCbBEMxvwWn9l,"My reaction is that hate crimes will always exist. Asians are not the only ones who experience hate crimes. I feel that privileged, rich Asians are always looking for a way to victimize themselves. ",,1,1,0,0,0,0,0,0,
R_2X7gXOJOsyvPV7K,,,,,,,,,,,
R_3qUSaoONWEd0UaI,,,,,,,,,,,
R_1Hc2vNdq199aZfN,,I know exactly what this is about as I was a victim myself as these two white men yelled out of their truck to go back to China.   This was during the hike if the virus abc it didn’t help that Donald Trump continues to encourage hatred towards Chinese people. ,1,0,1,0,0,0,0,0,
R_2AEw6r3f89bhSdB,"I like to take an action to support this anti-discrimination.
This is very annoying issue people are blaming Asian about covid-19.
I have dangerous feeling toward the people in that area.",,1,0,0,1,1,0,0,0,
R_4Mmx0kDSR4Wd16h,I’m so tired of this virus and inflation ,,0,0,0,0,0,0,0,0,
R_2R4eoQyrKUC7mOE,,"This action by any individual is highly condemnable and not fit for a country of immigrants all around. Only the immigrants have built this country and if we have to divide on the basis of country of origin, our country will again face a bitter infighting and break us all over.",0,0,0,1,0,0,0,0,
R_1KoFFsw0O001WBj,Asian hate. Discrimination. Racism.,,1,0,0,0,0,0,0,0,
R_2QEAPq5KEHqJEEE,"The article seems to have hit a cord with me. I guess because I'm Asian. I'm usually a very patient individual, but these ""people"" try my very last nerve.",,1,0,0,1,0,0,0,0,
R_2tD85GW508gRn2k,,,,,,,,,,,
R_2ckHEmGhtgDXPpu,,Asians should not be blamed for the covid 19 pandemic. Racism is disgusting. It's very disgusting the way people treat others based on the color of their skin.,1,0,0,1,0,0,0,0,
R_3lM4OYY2RNP4oey,,,,,,,,,,,
R_BxJffcShB0TS5EZ,"As an Asian American, it saddens me. I know hate is a part of being human and I hope eventually the situation and bad feelings against Asians will subside. I also believe most culture groups go through and been through some sort of discrimination in history. ",,1,0,0,0,0,1,0,0,
R_2rvyaOmYQXpElGh,,,,,,,,,,,
R_WlIQTAKqLcQL4CR,,We need to address the problem of racism. Stop the hate Asian racism. We need to stand up and stop the racism.,1,0,0,1,0,0,0,0,
R_UnkwmRU8CHZeuDn,,,,,,,,,,,
R_1QoseyGvZHIQANM,,"I feel disgust 
I feel fear.
I feel hate.",0,0,0,1,1,0,0,0,
R_28ZiQdmdodOlXQ0,,,,,,,,,,,
R_1itHfqJ9uXtShFs,My reaction of this article is I am worried and concerned about this hate crime because I my self is an Asian too.I am worried if I will experience this racism.,,1,0,0,0,1,0,0,0,
R_bjehNYHrBj1a85b,I am disgusted by this article but not surprised. I am aware of this happening. I hate that it is reality. ,,0,0,1,1,0,0,0,0,
R_1EbztZ536WPUca0,,"Discrimination due to the pandemic is uncalled for.
It's difficult to believe this type of behavior goes on.
Where I'm from, we rarely face this kind of discrimination.
",0,0,0,1,0,0,0,0,
R_2du2nlvSrwqRGp3,,No reaction ,0,0,0,0,0,0,0,0,
R_3lVmfsr71XuZ5cB,"shocked , upset and confused",,0,0,0,0,0,1,0,0,
R_2PpvvkziS8hYVae,,i think it is very sad. americans are so rude to one another and very ignorant. everyone should just get along and be peaceful.,0,0,0,0,0,1,0,0,
R_sImYntumERpjlEB,,,,,,,,,,,
R_1C4wmC0RUcXkkEn,,,,,,,,,,,
R_1OPksP44XqjbYVp,,,,,,,,,,,
R_3oN2gnPnve8wdkY,I felt surprised by the facts and understand that it makes sense,,0,0,0,0,0,0,0,0,
R_2fv2xajVtWxm97L,,,,,,,,,,,
R_2VwIPaz6uB8hVti,I understand what is going on. I can relate to the situation. Very little is being done about it. ,,0,0,0,0,0,0,0,0,
R_23VvIL83YZXZTP7,,I think the article is very bold. And very true I agree with most things in it. It’s very good.,0,0,0,0,0,0,1,0,
R_3hFpy5LjhaFEoF0,It is sad to see people with such hate.  It is also sad to see people not finding out the truth of statements made by people who do not know what they are saying.,,0,0,0,0,0,1,0,0,
R_24DcDOHcAqmLBLC,"I have heard of this violence against Asian Americans but have not directly experienced it. I also work with many Asians who also report never experiencing this type of hate crimes. As such, I have no strong feelings about this.",,0,0,1,0,0,0,0,0,
R_2rlsgCTuOZAnK2E,,,,,,,,,,,
R_2dQjnncuvCLo6zz,its not good impretion,,0,0,0,0,0,0,1,0,
R_xGyHhQ9X4IZFijn,,It’s very sad that one particular ethnicity is being targeted because of a virus. Discrimination has increased only in the United States. Other countries are helping one another to overcome this pandemic. ,0,0,0,0,0,1,0,0,
R_Y9U65GZimqr2oSJ,,,,,,,,,,,
R_uxNPbWR0390dAvT,Not really reactive because I know about all this already. None of this is news to me.,,0,0,1,0,0,0,0,0,
R_2YkQ5YwZ7EWDtoX,,,,,,,,,,,
R_zSvLXJjc5Hd8J1v,,I feel sad about the race discrimination and no one should be blamed when the pandamic  happaned,0,0,0,0,0,1,0,0,
R_vBKi1S4cSwwxZNT,,I agree with that statement it really is a virus,0,0,0,0,0,0,0,0,
R_1laRTHoDXDJvIrN,,People can't just blame them for the covid even though they are Asian that does not make them the accused Onces. Asian-American also have some right to live freely without bullied by the other people.,1,0,0,1,0,0,0,0,
R_2eOL09vseaxSvyx,,,,,,,,,,,
R_2435disSpXIOUaC,,,,,,,,,,,
R_31gimFjNqXAlUIc,"i really enjoyed getting another persons opinion on this current event and problem in america. it really reminds us of the false sense of care and security asians feel in america, we were once praised and ridiculed for being given privileges in america, but some americans do quickly betrayed and turned their backs away. instead they choose violence and physically and verbally attack innocent asian people in broad daylight. ",,1,0,0,0,0,0,0,0,
R_A6Qk4YK4Q8O6Cgp,,"Shocking
Why is this happening 
Stop all of this ",0,0,0,1,0,0,0,0,
R_2fwC9v41T9tREbx,"I feel really hurt & angry being an Asian myself with no unity & support from other races uplifting us. My family members have already heard vulgar words walking down the streets, and my ASIAN boyfriend & I also experienced mockery & hate Sitting at a park. It makes me feel scared for my elders in my family. ",,1,0,0,1,1,0,0,0,
R_aarA6nt78EkOngl,Its racism. I cant believe people do that knowing that lily wong is from the united states she may be an asian but she lives here now.,,1,0,0,1,0,0,0,0,
R_3m2a5bBFQ8pyJZN,,,,,,,,,,,
R_3I7McdCFFZCbnB7,,"It makes me scared to go around especially during the height of all the Asian hate. Filipinos do not look particularly “Asian” however the discrimination and blame is still something to fear. Now that COVID is coming to a slow end, I expect the hate to be gradually weaker",1,0,0,0,1,0,0,0,
R_2c8Ekn8byV4U4Dr,"Simple reaction
Going good
",,0,0,0,0,0,0,1,0,
R_1JFsC4ZOewYji7G,,"Feeling discriminated 
Feel bad for the people like us
And angry to the people who recite.",0,0,0,1,0,1,0,0,
R_3HhKGAnEJnfgIMM,,,,,,,,,,,
R_26ak5aDrQ93kgPg,This article is horrible for Asian Americans. How can people blame Asian Americans for Covid-19. China created this virus in a lab. ,,1,0,0,1,0,0,0,0,
R_eQguYG9rScoIKBP,,,,,,,,,,,
R_0wDkhNbpy38WnAt,,,,,,,,,,,
R_AuE4r6xFCVL4F8Z,,"As an Asian American, this blatant racism and hate is absolutely disgusting. People deserve to be respected, not hated due to their ethnic background. There needs to be more empathy and love in America.",1,0,0,1,0,0,0,0,
R_2cuU3MeCNKVLn09,I am saddened that so many people are discriminated against. They come here for freedom and get looked down upon due to their skin color. It’s unfortunate.,,0,0,0,0,0,1,0,0,
R_1OuT6WW5vVpEl73,,,,,,,,,,,
R_50uUthqGl7tXbVL,,Everything and everything. Everything and everything. Everything and everything.,0,0,0,0,0,0,1,0,
R_3q8xsTJxubza05C,,,,,,,,,,,
R_3Rg3Ae83aHfkTE5,"Being Asian, I can relate to this incident. I feel it is very unfair. Asians are not responsible for COVID.",,1,0,0,1,0,0,0,0,
R_2alZsmDE4X5vHhz,"As an Asian, I share similar feelings. Racial discrimination is true. It is important for us to stand together against it.",,1,0,0,0,0,0,0,0,
R_27QjsVBMSsNN33Y,,,,,,,,,,,
R_2y8EE8F73oRF8ts,I am appalled that people are being spat at. That is a very disgusting act of hatred toward anyone. Those who act this way are really not educated and only believe what they hear from similar people that are around them.,,0,0,0,1,0,0,0,0,
R_1IG9pPtS8G2FDNt,,"I believe what stated in the article is true and more apparently so during the pandemic. Especially in certain parts of America, those who did the action only use this pandemic as an excuse to express the frustration of the present and the past. I think we should not use these excuse to push back but to unite as a human being. I would say, not push asides base on our differences but to unite on our similarities.",0,0,0,0,0,0,0,0,
R_3lQ6pSqgGADvxZP,,This article presents the truth faced by many minority groups. It is sad to learn this truth. More needs to be done to address this issue.,0,1,0,0,0,1,0,0,
R_22Lfht7377hVlXa,,,,,,,,,,,
R_1gNJGC8IojK0JRc,,The blame towards one group of people is wrong. Even though the cause originally came from there blaming someone who hasn’t been there is wrong.It is important to keep a open mind and listen ,0,0,0,1,0,0,0,0,
R_21c5DPtPALljmXJ,I am sure the number of aggressions is much higher than 17%. It sucks that Asian Americans are blamed for covid. I am hopeful that bringing more awareness and teaching compassion will decrease the crime ,,1,0,0,0,0,1,0,0,
R_25KEPKy1w34MVOK,No comment about it,,0,0,0,0,0,0,1,0,
R_3lGOMjQdX5xvXmL,,,,,,,,,,,
R_1cTvBmETxn1OMha,Not applicable right now ,,0,0,0,0,0,0,1,0,
R_80NCCkSaN0t4O7n,,,,,,,,,,,
R_sMdgTIXViR5hhkZ,,,,,,,,,,,
R_2XmI7OEwqEuEo81,It’s very scary to know that it may not be very safe to walk on roads and not get discriminated for any reason. Rise in hate crimes can work against the goodwill of the society in large and impede the progress of the nation ,,0,0,0,0,1,0,0,0,
R_2Cm73ThKCdeJC19,,,,,,,,,,,
R_3hyGJqDLGjLpOj5,There are many ignorant people in this world. I hope people learns to be understanding and caring. We should focus more on loving each other as brothers and sisters than enemies that hate each other.,,0,0,0,0,0,0,0,0,
R_1I4SJJX8QqD0W1r,,"It is sad. To think that people are so shallow to hate on one another based on race is stupid. As a society we should be together,",0,0,0,1,0,1,0,0,
R_2dSZrCVMzk4AeAF,,"There were so many discriminations in the society so far this covid 19 kick started one more discrimination which affected Asian Americans , Latinos etc as per the previous story ",0,1,0,0,0,0,0,0,
R_r0cx7UelC73QGWt,,,,,,,,,,,
R_3a4Slzzq5NCB4gV,this article makes me feel very sad. its disgusting because a lot of things in america are from asia. the hypocrisy is real. ,,1,0,0,0,0,1,0,0,
R_3GBe6V3JuHfapRN,,,,,,,,,,,
R_2EuG7nu1mK0HBdW,,I am ready to defend every Asian who is being assaulted. I will not sit and allow hate violence to occur. I will fight back.,1,0,0,1,0,0,0,0,
R_3lKVeP3qUW2fuSP,,,,,,,,,,,
R_2THSMpYgS9IcDN6,The article was straightforward yet engaging. I appreciated the inclusion of a personal story as it helped me connect with the topic. I wish resources or actions that the general public could use to combat anti Asian sentiment.,,1,0,0,0,0,0,0,0,
R_qLeUn0qyOQ0W2WZ,,I dunno ,0,0,0,0,0,0,1,0,
R_28zDKaMhofeHmFA,,"I am saddened, but not surprised how people show no respect towards each other. I have found that the ""abusers"" tend to be misinformed people who don't bother to learn the details. This article is informative, but not proactive in combatting racism.",0,0,1,0,0,1,0,0,
R_23V6ONyIww3vnMk,We all equal as one! Stop with all the hate & pointing Blames on something or someone you don’t anything about! Stop Asian Hate!,,1,0,0,1,0,0,0,0,
R_sv4ZxX2Ojfa4wzD,,,,,,,,,,,
R_1isbXfu9GNm4y9D,Interesting ,,0,0,0,0,0,0,1,0,
R_2y7vKARXzcnpaBk,,,,,,,,,,,
R_3NLqDI9mgU7Mztx,,The hard reality is that it is true and these racial comments and actions are prevalent in the country. It is weird to think that educated people can behave in such an inhumane way. ,0,0,0,0,0,0,0,0,
R_1H2hqxtHTCOG1do,"Wow, pretty much boggles me mind how ignorant people are. I mean...come on people. Damn crackers!",,0,0,0,1,0,0,0,0,
R_1Hq915ENwhvn1tG,,,,,,,,,,,
R_2dg9r9O7AZzvynu,Astfu,,,,,,,,,,
R_3iVdb4QJOVPFO8i,,"I've already heard about this before, so I sadly wasn't surprised. I agree with the message and want to stop this. I'm also disappointed in how easy rumors spread",0,0,1,0,0,1,0,0,
R_3rTYmIAsiCvd8Y5,,,,,,,,,,,
R_3I9ykAcyvcmQMWx,,I think that people should support Asian people instead of trying to bring them down and be racist against them ,1,0,0,0,0,0,0,0,
